KUALITAS BERAS,RATA-RATA HARGA (Rp/Kg),BULAN,TAHUN
Premium,8208.79,Januari,2014
Premium,8303.23,Februari,2014
Premium,8192.87,Maret,2014
Premium,7919.93,April,2014
Premium,8009.43,Mei,2014
Premium,8167.57,Juni,2014
Premium,8228.3,Juli,2014
Premium,8329.47,Agustus,2014
Premium,8310.51,September,2014
Premium,8396.86,Oktober,2014
Premium,8555.14,November,2014
Premium,9018.39,Desember,2014
Medium,8028.48,Januari,2014
Medium,8129.02,Februari,2014
Medium,8083.86,Maret,2014
Medium,7830.22,April,2014
Medium,7805.76,Mei,2014
Medium,7797.08,Juni,2014
Medium,7939,Juli,2014
Medium,8009.58,Agustus,2014
Medium,8125.93,September,2014
Medium,8126.34,Oktober,2014
Medium,8372.84,November,2014
Medium,8992.57,Desember,2014
Premium,9723.46,Januari,2015
Premium,9784.7,Februari,2015
Premium,9571.84,Maret,2015
Premium,9127.77,April,2015
Premium,9181.93,Mei,2015
Premium,9354.34,Juni,2015
Premium,9374.37,Juli,2015
Premium,9367.3,Agustus,2015
Premium,9110.58,September,2015
Premium,9132.58,Oktober,2015
Premium,9257.36,November,2015
Premium,9341.58,Desember,2015
Medium,9548.24,Januari,2015
Medium,9621.7,Februari,2015
Medium,9444.35,Maret,2015
Medium,8958.89,April,2015
Medium,8835.54,Mei,2015
Medium,8972.68,Juni,2015
Medium,8932.18,Juli,2015
Medium,8900.9,Agustus,2015
Medium,8965.31,September,2015
Medium,8980.85,Oktober,2015
Medium,9049.87,November,2015
Medium,9069,Desember,2015
Premium,9723.46,Januari,2016
Premium,9784.7,Februari,2016
Premium,9571.84,Maret,2016
Premium,9127.77,April,2016
Premium,8709.81,Mei,2016
Premium,8915.36,Juni,2016
Premium,8945.11,Juli,2016
Premium,9126.78,Agustus,2016
Premium,9444.06,September,2016
Premium,9455.01,Oktober,2016
Premium,9564.26,November,2016
Premium,9663.57,Desember,2016
Medium,9548.24,Januari,2016
Medium,9621.7,Februari,2016
Medium,9444.35,Maret,2016
Medium,8958.89,April,2016
Medium,8520.39,Mei,2016
Medium,8605.95,Juni,2016
Medium,8648.44,Juli,2016
Medium,8741.08,Agustus,2016
Medium,8939.61,September,2016
Medium,8960.96,Oktober,2016
Medium,9271.85,November,2016
Medium,9450.66,Desember,2016
Premium,9431.37,Januari,2017
Premium,9408.39,Februari,2017
Premium,9388.53,Maret,2017
Premium,9324.6,April,2017
Premium,9436.19,Mei,2017
Premium,9444.28,Juni,2017
Premium,9383.68,Juli,2017
Premium,9436.74,Agustus,2017
Premium,9470.59,September,2017
Premium,9502.67,Oktober,2017
Premium,9538.75,November,2017
Premium,9860.39,Desember,2017
Medium,9099.52,Januari,2017
Medium,9047.57,Februari,2017
Medium,8705.43,Maret,2017
Medium,8653.8,April,2017
Medium,8790.17,Mei,2017
Medium,8794.48,Juni,2017
Medium,8743.86,Juli,2017
Medium,8823.05,Agustus,2017
Medium,8935.02,September,2017
Medium,9116.5,Oktober,2017
Medium,9279.52,November,2017
Medium,9526.01,Desember,2017
Premium,10349.91,Januari,2018
Premium,10381.74,Februari,2018
Premium,9892.56,Maret,2018
Premium,9524.96,April,2018
Premium,9523.88,Mei,2018
Premium,9478.05,Juni,2018
Premium,9519.93,Juli,2018
Premium,9458.07,Agustus,2018
Premium,9572.03,September,2018
Premium,9645.3,Oktober,2018
Premium,9770.97,November,2018
Premium,9818.07,Desember,2018
Medium,10177.05,Januari,2018
Medium,10215.16,Februari,2018
Medium,9698.23,Maret,2018
Medium,9220.84,April,2018
Medium,9190.37,Mei,2018
Medium,9135.41,Juni,2018
Medium,9197.78,Juli,2018
Medium,9172.27,Agustus,2018
Medium,9309.98,September,2018
Medium,9395.39,Oktober,2018
Medium,9603.63,November,2018
Medium,9798.38,Desember,2018
Premium,10111.08,Januari,2019
Premium,10007.91,Februari,2019
Premium,9814.53,Maret,2019
Premium,9464.68,April,2019
Premium,9462.05,Mei,2019
Premium,9515.51,Juni,2019
Premium,9519.35,Juli,2019
Premium,9530,Agustus,2019
Premium,9594.39,September,2019
Premium,9659.17,Oktober,2019
Premium,9742.16,November,2019
Premium,9838.26,Desember,2019
Medium,9902.68,Januari,2019
Medium,9799.57,Februari,2019
Medium,9555.35,Maret,2019
Medium,9144.2,April,2019
Medium,9142.52,Mei,2019
Medium,9166.4,Juni,2019
Medium,9211.03,Juli,2019
Medium,9224,Agustus,2019
Medium,9301.08,September,2019
Medium,9433.88,Oktober,2019
Medium,9522.01,November,2019
Medium,9565.59,Desember,2019
Premium,10032.66,Januari,2020
Premium,10080.8,Februari,2020
Premium,10082.43,Maret,2020
Premium,10018.19,April,2020
Premium,9826.63,Mei,2020
Premium,9918.95,Juni,2020
Premium,9931.71,Juli,2020
Premium,9962.65,Agustus,2020
Premium,9871.12,September,2020
Premium,9812.9,Oktober,2020
Premium,9714.5,November,2020
Premium,9787.86,Desember,2020
Medium,9805.4,Januari,2020
Medium,9844.13,Februari,2020
Medium,9826.68,Maret,2020
Medium,9671.03,April,2020
Medium,9526.55,Mei,2020
Medium,9445.31,Juni,2020
Medium,9316.3,Juli,2020
Medium,9334.9,Agustus,2020
Medium,9404.58,September,2020
Medium,9462.81,Oktober,2020
Medium,9384.98,November,2020
Medium,9382.69,Desember,2020
Premium,9780.19,Januari,2021
Premium,9772.1,Februari,2021
Premium,9606.97,Maret,2021
Premium,9549.76,April,2021
Premium,9627.08,Mei,2021
Premium,9537.16,Juni,2021
Premium,9401.61,Juli,2021
Premium,9499.36,Agustus,2021
Premium,9455.56,September,2021
Premium,9449.47,Oktober,2021
Premium,9539.29,November,2021
Premium,9672.54,Desember,2021
Medium,9404.74,Januari,2021
Medium,9386.31,Februari,2021
Medium,9153.68,Maret,2021
Medium,8978.86,April,2021
Medium,8909.5,Mei,2021
Medium,8906.67,Juni,2021
Medium,8886.9,Juli,2021
Medium,8915.75,Agustus,2021
Medium,8962.39,September,2021
Medium,9010.82,Oktober,2021
Medium,9071.94,November,2021
Medium,9128.44,Desember,2021
Premium,9824.23,Januari,2022
Premium,9826.88,Februari,2022
Premium,9786.63,Maret,2022
Premium,9576.75,April,2022
Premium,9512.63,Mei,2022
Premium,9497.4,Juni,2022
Premium,9628.57,Juli,2022
Premium,9901.15,Agustus,2022
Premium,10252.31,September,2022
Premium,10402.23,Oktober,2022
Premium,10511.71,November,2022
Premium,10954.01,Desember,2022
Medium,9381.24,Januari,2022
Medium,9358.61,Februari,2022
Medium,9323.35,Maret,2022
Medium,9104.35,April,2022
Medium,9065.18,Mei,2022
Medium,9007.86,Juni,2022
Medium,9091.92,Juli,2022
Medium,9358.34,Agustus,2022
Medium,9785.04,September,2022
Medium,10043.47,Oktober,2022
Medium,10122.15,November,2022
Medium,10371.11,Desember,2022
